Borough,Primary Property Type - Self Selected,Largest Property Use Type - Gross Floor Area (sqft),Year Built,Fuel Oil #1 Use (kBtu),Fuel Oil #2 Use (kBtu),Fuel Oil #4 Use (kBtu),Fuel Oil #5 & 6 Use (kBtu),Diesel #2 Use (kBtu),District Steam Use (kBtu),Natural Gas Use (kBtu),Electricity Use - Grid Purchase (kBtu)
Manhattan,Multifamily Housing,144330,1930,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4914301,3162009.7
Manhattan,Multifamily Housing,112500,1906,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5781234.8,2633296.2
Manhattan,Multifamily Housing,121053,1928,Not Available,Not Available,Not Available,Not Available,Not Available,11317317204,123900,13694116.7
Manhattan,Multifamily Housing,58196,1985,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1484217.1,3204312
Manhattan,Hotel,49709,2007,Not Available,Not Available,Not Available,Not Available,Not Available,4272989.5,,6088793.6
Manhattan,Multifamily Housing,69000,1915,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3039152.7,1174831.3
Manhattan,Multifamily Housing,116600,1986,Not Available,6040881.1,Not Available,Not Available,Not Available,Not Available,,5417827.3
Manhattan,Multifamily Housing,118968,1997,Not Available,3477089,Not Available,Not Available,Not Available,Not Available,5171634.1,3530236.1
Manhattan,Multifamily Housing,90473,1890,Not Available,Not Available,Not Available,Not Available,Not Available,4138654.9,,5437783.3
Manhattan,Multifamily Housing,57567,1988,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,9149686.1,2367124.5
Manhattan,Multifamily Housing,87324,1931,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2418073.7,4467561.4
Manhattan,Multifamily Housing,111592,1910,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4742048.9,3441850.1
Manhattan,Multifamily Housing,619741,2006,Not Available,7714062,Not Available,Not Available,Not Available,Not Available,37525256.8,41528102.5
Manhattan,Multifamily Housing,387073,2005,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,17383747.5,19236455.9
Manhattan,Multifamily Housing,69830,1910,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2506780.3,2288491.5
Manhattan,Multifamily Housing,97768,1900,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3394082.6,2284526.4
Manhattan,Multifamily Housing,51508,1929,Not Available,Not Available,0,Not Available,Not Available,Not Available,4075019.7,997873.8
Manhattan,Data Center,816097,1930,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1206.7,322548474
Manhattan,Multifamily Housing,48948,1915,Not Available,Not Available,5483029.7,Not Available,Not Available,Not Available,2271632,3409443.1
Manhattan,Office,102304,1915,Not Available,Not Available,Not Available,Not Available,Not Available,1584327.9,,4056574
Manhattan,Office,735174,1929,Not Available,19407725.9,Not Available,Not Available,Not Available,Not Available,639363.7,30177998.1
Manhattan,Other,55311,1900,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,613701.1,2964733
Manhattan,Multifamily Housing,119369,2010,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4166276.2,4969082.1
Manhattan,Office,250564,1904,Not Available,Not Available,6621890.2,Not Available,Not Available,Not Available,1294,9478166.6
Manhattan,Office,122690,1910,Not Available,10618134.1,Not Available,Not Available,Not Available,Not Available,,3943112
Manhattan,Multifamily Housing,65000,1985,Not Available,Not Available,Not Available,Not Available,Not Available,1154996,125919,1128192.4
Manhattan,Multifamily Housing,477429,1990,Not Available,Not Available,Not Available,Not Available,Not Available,29286830.8,796870,11108892.4
Manhattan,Office,132600,1900,Not Available,5555604.2,Not Available,Not Available,Not Available,Not Available,838799.9,17413328.8
Manhattan,Multifamily Housing,306802,1964,Not Available,Not Available,Not Available,Not Available,Not Available,20781594.6,906666.7,4776345.2
Manhattan,Multifamily Housing,137820,1999,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5223445.4,5027129.9
Manhattan,Multifamily Housing,231894,2003,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,24975106.8,11216069.6
Manhattan,Multifamily Housing,93629,1985,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2007600.6,2648340.5
Manhattan,Residence Hall/Dormitory,311766,1915,Not Available,14156591.8,Not Available,Not Available,Not Available,Not Available,4663665.5,9340287.3
Manhattan,Multifamily Housing,144375,1990,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,9466800,4568941
Manhattan,Multifamily Housing,91412,2007,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3590350.7,4225048.7
Manhattan,Multifamily Housing,114223,1901,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1864805.1,5419945.3
Manhattan,Multifamily Housing,66834,1920,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4656078.5,5673361.1
Manhattan,Multifamily Housing,119200,1924,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4006149.6,6732663.5
Manhattan,Multifamily Housing,71550,1920,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4780699.8,1275258.9
Manhattan,Office,80149,1920,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3254113.7,6255219.7
Manhattan,Multifamily Housing,98891,1985,Not Available,Not Available,Not Available,Not Available,Not Available,4061988.3,22957.1,3242034.8
Manhattan,Office,60852,1928,Not Available,Not Available,Not Available,Not Available,Not Available,6030000681,,2601089.9
Manhattan,K-12 School,265000,2008,Not Available,Not Available,Not Available,Not Available,Not Available,12621081830,,15783650.3
Manhattan,Multifamily Housing,51704,1915,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2111375,1401164
Manhattan,Multifamily Housing,48000,2009,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2131913.4,3216064.8
Manhattan,Multifamily Housing,73954,1985,Not Available,Not Available,5184460.1,Not Available,Not Available,Not Available,52703.3,1480025.1
Manhattan,Non-Refrigerated Warehouse,56000,1906,Not Available,Not Available,2870606.2,Not Available,Not Available,Not Available,,211695.3
Manhattan,Multifamily Housing,84100,1915,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2413984.6,3236034.6
Manhattan,Office,33731,1915,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2451800.2,3227751.8
Manhattan,Office,1869756,1986,Not Available,0,Not Available,Not Available,Not Available,39927362.1,2389172,98901603.4
Manhattan,Hotel,75000,2005,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,9209379.7,8326671
Manhattan,Multifamily Housing,79804,1985,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,7061851.3,3539067.7
Manhattan,Office,46200,1956,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5593657.7,6171430.4
Manhattan,Multifamily Housing,70771,1915,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5288838.5,3268347.3
Manhattan,Multifamily Housing,80366,1999,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1983161.6,5580094.3
Manhattan,Multifamily Housing,66812,1905,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1639500,2164494.4
Manhattan,Multifamily Housing,66918,1921,Not Available,Not Available,2920146,Not Available,Not Available,Not Available,94729,971471.1
Manhattan,Multifamily Housing,59496,1985,Not Available,Not Available,2684794,Not Available,Not Available,Not Available,550726.6,2641054.3
